feature,importance
bring phones,0.18548014530279575
bring smile,-0.061808152667418466
bringing,-0.1851300295532451
brings,-0.009632209617785997
broke,-0.7272720435531584
broken,0.12701480724264863
brother,-0.1130340093838869
brought,-0.4786013867039217
budget,0.2965264623220319
build,-0.02809172823846996
building,-0.450311682950694
built,0.38970108408115517
bullied,0.017748511354134806
bullying,-0.40833879229999026
bunch,0.239687772059119
bus,-0.19898254423991318
buses,0.12087724756183534
bush,0.44676898983589514
business,0.09605059918855469
busy,-0.3126567474932005
butte,0.5503178116432483
butte mesa,-0.3919047920870518
butte snake,0.12739606775963502
buy,-0.681496821408788
buying,0.44949695754940533
calculate,-0.3711306596681021
calculation,0.23390892546879824
california,0.2837601872796301
call,0.2249822568261952
call disaster,0.2247661807048086
call parents,0.7136322379585053
called,0.11753301067591501
called evening,-0.24410041531556068
called facial,0.5649713728585742
calling,0.18819007072621782
calls,0.40567799928695686
calm,0.2813726388889994
came,0.31634224775200637
camera,1.03443874689875
cameras,0.33991468549566517
campaign,0.12263048749479255
campaign ad,-0.006323988930034019
campaign seventeen,0.15813511646421488
campaigns,-0.03873111407728378
campus,-0.4495499282575085
candiate,0.4640054576816791
candidate,-0.34537054545042817
candidate actually,0.3243577243252221
candidate hope,0.038176929341049534
candidate receives,0.2098278189982793
candidate recieves,0.29202434122973064
candidate running,-0.09590828072591792
candidate transregional,0.8368945589278788
candidate wins,0.15162499363384088
candidate youre,-0.07025721855141266
candidates,-0.41729127809148403
candidates campaign,0.031595192481899396
candidates dont,0.10743567221770225
candidates electors,0.5656933812227202
candidates political,-0.03048108602854182
candidates ran,-0.16458116848327645
candidates share,0.023762005751763897
canidate,0.6158494056688966
canidates,0.2100927556826633
cant,0.2364316160572069
capable,-0.42100918214250244
capital,0.09994531113688497
captured,0.4690124195237515
car,0.40275818171859173
car accident,-0.30266646024488847
car accidents,0.10768506319345329
car always,0.050135434379274785
car companies,-0.2704070552003039
car could,0.022652017412975605
car culture,-0.22605012154501042
car drive,0.41535187644823957
car driving,-0.23938533361974032
car free,0.18175133349036818
car move,0.16174526443667225
car usage,-0.10313810912072163
car use,-0.2633396064094635
car would,-0.30600093534602163
carbide,0.193465655722972
carbide tested,-0.014986862115694692
carbon,0.3915940709053166
carbon dioxide,0.31971980041191805
care,0.34356464772474354
career,0.2499871271069014
careful,-0.5079154532528575
carefully,-0.40252691767100757
cares,-0.18294092894673053
carfree,-0.00898123907100345
carfree day,0.13788655292881363
caring,0.19182751664795863
carolina,0.17310776492661037
carry,0.0326563624964276
carrying,-0.6208076267736947
carrying state,-0.1484131117808303
cars,0.2849229230063703
cars coming,-0.13529293471471684
cars could,0.5509568558707781
cars drive,0.15743563666094032
cars driving,0.3201066063222808
cars good,0.177981391841859
cars home,0.40205746841516815
cars may,-0.5293366384675701
cars people,-0.5852428393726424
cars still,-0.47485817709492817
cars would,-0.35372877241692735
carter,-0.06850126760674992
carter bob,-0.26427950102271386
case,0.5032423667547269
cases,0.28004257312593744
cast,0.5242974189949272
casts,-0.22196255635369622
catch,0.07045250886226767
cattle,0.19055495197493752
cattle boat,-0.09656433430909056
caught,0.40827911098334346
cause,0.4702623834114779
cause problems,-0.1470784199599269
caused,0.017322358464156012
causes,0.49968790046178374
causing,0.1972485655544647
cell,-0.1224327707864728
cell phone,-0.07415909193172247
cell phones,0.01929803541724207
cellphones,0.271570362991738
center,-0.5650012420769837
central,0.4692845876565633
century,0.14515145554303918
century system,0.45188503448068745
certain,-0.19599494499584388
certainly,-0.3788108574357921
certainty,0.023967897939946265
certainty outcome,0.5241481643506033
certificate,-0.2725071446482134
certificate ascertainment,0.14436319736000985
challenge,-0.13889029678052092
challenge exploring,-0.46009460383884376
challenge presented,0.30372901900023724
challenges,-0.229969618712265
challenging,-0.03545752834365113
challenging clouds,0.30232846129199387
challenging place,0.2686411549559136
challenging planet,0.29437173452249077
chamber,-0.02124060101136483
chamber commerce,-0.3677967853527509
chamber simulating,0.20399416665492684
chance,-0.1326934628957218
chance winning,-0.3598800025045105
chances,0.5943710747676958
change,0.05219061533738854
change election,-0.08065784334151843
change electoral,0.5720859183182608
change mind,-0.1615905351735645
change way,0.7093877724618189
change world,0.05093303637691351
changed,0.25340753347366163
changes,-0.0463830381181052
changing,0.16641266355773413
changing election,0.2926344781036354
chaos,0.1699657276831489
chaos venuss,0.28332664072351615
character,-0.5281001381190498
characteristic,-0.24285095479804472
charge,-0.15687388609091285
cheat,-0.02167837990080565
cheating,-0.00955096498651665
check,-0.669955385458298
child,-0.477590680141583
children,-0.6131440371195677
childs,-0.31893372991111196
china,0.8475294814640109
choice,0.17123849431148122
choices,-0.3734682643627691
choose,0.02879334021689858
choose president,-0.6757716261179791
choose states,-0.011004096285647741
choose want,0.030454359153485676
chooses,0.7855939065402945
choosing,0.23111716394187523
choosing president,0.42991479563494345
chose,-0.03400295058450308
chosen,-0.3004604910522868
chosen candidates,-0.30601225900646856
circumstances,-0.04096699703776782
cities,0.512137466464629
citizen,-0.27793960878942037
citizens,-0.21955318843166893
citizens united,0.13136093821684489
citizens vote,0.020552088929941353
city,0.6437290216714576
civilization,-0.1168126369505824
claim,-1.3440538586000106
claims,-0.9376593303633504
class,0.8108668591296165
class home,0.22174966095366813
class online,-0.5971476679641439
class room,0.5072601757935744
class students,0.03184813773590303
class teacher,0.8669826675994646
class time,0.5673173546066875
class work,-0.044920732441672495
class would,-0.3435689077394853
classes,0.18274572372448178
classes home,0.048687628322889455
classes online,-0.12768591456021633
classes school,0.39774704789487386
classes students,0.48261556817354884
classes would,-0.2721253629740745
classified,0.13723153647789374
classified six,0.010911827646993645
classmates,-0.18661276768491156
